,origin,Jobs,
728,4.81E+11,42753.5,0.435842929
729,4.81E+11,7433.5,0.076111215
730,4.81E+11,18501.5,0.189580176
731,4.81E+11,17658.5,0.181285851
732,4.81E+11,9492.5,0.097628976
733,4.81E+11,21874.5,0.225195894
734,4.81E+11,21872,0.225678375
735,4.81E+11,22250,0.230097914
736,4.81E+11,3506,0.036340846
737,4.81E+11,47660.5,0.49419639
738,4.81E+11,36435,0.379674419
739,4.81E+11,3093,0.032353743
740,4.81E+11,84361,0.882727911
741,4.81E+11,38485,0.406281727
742,4.81E+11,25508,0.270383547
743,4.81E+11,38228,0.406313526
744,4.81E+11,38228,0.407971168
745,4.81E+11,38632.5,0.41397692
746,4.81E+11,84754,0.911979613
747,4.81E+11,6483,0.070401157
748,481130131013a,15743.5,0.1710846
